Geography,Geographic Area Name,Estimate!!Median household income in the past 12 months (in 2021 inflation-adjusted dollars),Annotation of Estimate!!Median household income in the past 12 months (in 2021 inflation-adjusted dollars),Margin of Error!!Median household income in the past 12 months (in 2021 inflation-adjusted dollars),Annotation of Margin of Error!!Median household income in the past 12 months (in 2021 inflation-adjusted dollars)
1400000US37097061001,"Census Tract 610.01, Iredell County, North Carolina",60902,null,9478,null
1400000US37097061002,"Census Tract 610.02, Iredell County, North Carolina",66188,null,5300,null
1400000US37097061003,"Census Tract 610.03, Iredell County, North Carolina",51854,null,4032,null
1400000US37097061101,"Census Tract 611.01, Iredell County, North Carolina",53194,null,11151,null
1400000US37097061102,"Census Tract 611.02, Iredell County, North Carolina",60375,null,12590,null
1400000US37097061103,"Census Tract 611.03, Iredell County, North Carolina",47967,null,9579,null
1400000US37097061104,"Census Tract 611.04, Iredell County, North Carolina",47917,null,13398,null
1400000US37097061201,"Census Tract 612.01, Iredell County, North Carolina",86218,null,7968,null
1400000US37097061202,"Census Tract 612.02, Iredell County, North Carolina",62750,null,13280,null
1400000US37097061203,"Census Tract 612.03, Iredell County, North Carolina",83523,null,11058,null
1400000US37097061204,"Census Tract 612.04, Iredell County, North Carolina",152292,null,22676,null
1400000US37097061205,"Census Tract 612.05, Iredell County, North Carolina",66906,null,8911,null
1400000US37097061301,"Census Tract 613.01, Iredell County, North Carolina",46667,null,4793,null
1400000US37097061302,"Census Tract 613.02, Iredell County, North Carolina",66875,null,6236,null
1400000US37097061303,"Census Tract 613.03, Iredell County, North Carolina",91475,null,20279,null
1400000US37097061304,"Census Tract 613.04, Iredell County, North Carolina",65739,null,8851,null
1400000US37097061401,"Census Tract 614.01, Iredell County, North Carolina",169013,null,51370,null
1400000US37097061402,"Census Tract 614.02, Iredell County, North Carolina",89576,null,13410,null
1400000US37097061403,"Census Tract 614.03, Iredell County, North Carolina",59529,null,9485,null
1400000US37097061404,"Census Tract 614.04, Iredell County, North Carolina",99038,null,32791,null
1400000US37097061405,"Census Tract 614.05, Iredell County, North Carolina",110987,null,10032,null
1400000US37097061406,"Census Tract 614.06, Iredell County, North Carolina",176619,null,32871,null
1400000US37097061407,"Census Tract 614.07, Iredell County, North Carolina",96122,null,11263,null
1400000US37097061408,"Census Tract 614.08, Iredell County, North Carolina",97340,null,6657,null
1400000US37097061501,"Census Tract 615.01, Iredell County, North Carolina",66574,null,19294,null
1400000US37097061502,"Census Tract 615.02, Iredell County, North Carolina",77965,null,13403,null
1400000US37097061503,"Census Tract 615.03, Iredell County, North Carolina",67391,null,21630,null
1400000US37097061601,"Census Tract 616.01, Iredell County, North Carolina",42617,null,7608,null
1400000US37097061603,"Census Tract 616.03, Iredell County, North Carolina",57950,null,11454,null
1400000US37097061604,"Census Tract 616.04, Iredell County, North Carolina",95451,null,11036,null
1400000US37097061605,"Census Tract 616.05, Iredell County, North Carolina",77490,null,28991,null
1400000US37099940200,"Census Tract 9402, Jackson County, North Carolina",33167,null,7746,null
1400000US37099950200,"Census Tract 9502, Jackson County, North Carolina",67628,null,13305,null
1400000US37099950300,"Census Tract 9503, Jackson County, North Carolina",43384,null,4150,null
1400000US37099950400,"Census Tract 9504, Jackson County, North Carolina",58433,null,13274,null
1400000US37099950500,"Census Tract 9505, Jackson County, North Carolina",52680,null,8427,null
1400000US37099950600,"Census Tract 9506, Jackson County, North Carolina",45000,null,11271,null
1400000US37099950700,"Census Tract 9507, Jackson County, North Carolina",45694,null,10228,null
1400000US37099950800,"Census Tract 9508, Jackson County, North Carolina",47009,null,9374,null
1400000US37099950900,"Census Tract 9509, Jackson County, North Carolina",71328,null,21803,null
1400000US37101040101,"Census Tract 401.01, Johnston County, North Carolina",42205,null,9992,null
1400000US37101040102,"Census Tract 401.02, Johnston County, North Carolina",41522,null,11204,null
1400000US37101040103,"Census Tract 401.03, Johnston County, North Carolina",72188,null,51627,null
1400000US37101040204,"Census Tract 402.04, Johnston County, North Carolina",83184,null,27747,null
1400000US37101040205,"Census Tract 402.05, Johnston County, North Carolina",82039,null,21463,null
1400000US37101040206,"Census Tract 402.06, Johnston County, North Carolina",47500,null,9130,null
1400000US37101040207,"Census Tract 402.07, Johnston County, North Carolina",105576,null,19981,null
1400000US37101040208,"Census Tract 402.08, Johnston County, North Carolina",86547,null,34920,null
1400000US37101040209,"Census Tract 402.09, Johnston County, North Carolina",69859,null,26157,null
1400000US37101040210,"Census Tract 402.10, Johnston County, North Carolina",59000,null,42178,null
1400000US37101040301,"Census Tract 403.01, Johnston County, North Carolina",41262,null,13453,null
1400000US37101040303,"Census Tract 403.03, Johnston County, North Carolina",27946,null,15521,null
1400000US37101040304,"Census Tract 403.04, Johnston County, North Carolina",101469,null,40384,null
1400000US37101040400,"Census Tract 404, Johnston County, North Carolina",65847,null,7125,null
1400000US37101040501,"Census Tract 405.01, Johnston County, North Carolina",49750,null,13811,null
1400000US37101040502,"Census Tract 405.02, Johnston County, North Carolina",78556,null,43214,null
1400000US37101040600,"Census Tract 406, Johnston County, North Carolina",34526,null,19233,null
1400000US37101040700,"Census Tract 407, Johnston County, North Carolina",40460,null,14242,null
1400000US37101040800,"Census Tract 408, Johnston County, North Carolina",34175,null,20984,null
1400000US37101040903,"Census Tract 409.03, Johnston County, North Carolina",80266,null,17649,null
1400000US37101040904,"Census Tract 409.04, Johnston County, North Carolina",56536,null,8987,null
1400000US37101040905,"Census Tract 409.05, Johnston County, North Carolina",64794,null,19039,null
1400000US37101040906,"Census Tract 409.06, Johnston County, North Carolina",87656,null,15943,null
1400000US37101041001,"Census Tract 410.01, Johnston County, North Carolina",63458,null,4687,null
1400000US37101041003,"Census Tract 410.03, Johnston County, North Carolina",63373,null,5873,null
1400000US37101041004,"Census Tract 410.04, Johnston County, North Carolina",48869,null,17255,null
1400000US37101041005,"Census Tract 410.05, Johnston County, North Carolina",77973,null,28526,null
1400000US37101041104,"Census Tract 411.04, Johnston County, North Carolina",58686,null,17435,null
1400000US37101041105,"Census Tract 411.05, Johnston County, North Carolina",84729,null,9040,null
1400000US37101041106,"Census Tract 411.06, Johnston County, North Carolina",95203,null,24479,null
1400000US37101041107,"Census Tract 411.07, Johnston County, North Carolina",100079,null,19688,null
1400000US37101041108,"Census Tract 411.08, Johnston County, North Carolina",104972,null,5046,null
1400000US37101041109,"Census Tract 411.09, Johnston County, North Carolina",66667,null,37870,null
1400000US37101041110,"Census Tract 411.10, Johnston County, North Carolina",94785,null,17250,null
1400000US37101041111,"Census Tract 411.11, Johnston County, North Carolina",60904,null,23611,null
1400000US37101041112,"Census Tract 411.12, Johnston County, North Carolina",96475,null,13554,null
1400000US37101041113,"Census Tract 411.13, Johnston County, North Carolina",121477,null,32563,null
1400000US37101041203,"Census Tract 412.03, Johnston County, North Carolina",49338,null,13735,null
1400000US37101041204,"Census Tract 412.04, Johnston County, North Carolina",48636,null,10175,null
1400000US37101041205,"Census Tract 412.05, Johnston County, North Carolina",47237,null,13845,null
1400000US37101041206,"Census Tract 412.06, Johnston County, North Carolina",54752,null,9513,null
1400000US37101041301,"Census Tract 413.01, Johnston County, North Carolina",76236,null,13320,null
1400000US37101041302,"Census Tract 413.02, Johnston County, North Carolina",53279,null,16763,null
1400000US37101041401,"Census Tract 414.01, Johnston County, North Carolina",60615,null,6951,null
1400000US37101041402,"Census Tract 414.02, Johnston County, North Carolina",54335,null,15133,null
1400000US37101041504,"Census Tract 415.04, Johnston County, North Carolina",62520,null,3689,null
1400000US37101041505,"Census Tract 415.05, Johnston County, North Carolina",55703,null,26107,null
1400000US37101041506,"Census Tract 415.06, Johnston County, North Carolina",103750,null,37731,null
1400000US37101041507,"Census Tract 415.07, Johnston County, North Carolina",98583,null,17858,null
1400000US37101041508,"Census Tract 415.08, Johnston County, North Carolina",78803,null,27664,null
1400000US37101041509,"Census Tract 415.09, Johnston County, North Carolina",91289,null,21518,null
1400000US37101041510,"Census Tract 415.10, Johnston County, North Carolina",44297,null,39610,null
1400000US37101041511,"Census Tract 415.11, Johnston County, North Carolina",51236,null,21144,null
1400000US37103920100,"Census Tract 9201, Jones County, North Carolina",42660,null,7762,null
1400000US37103920200,"Census Tract 9202, Jones County, North Carolina",62434,null,9319,null
1400000US37103920300,"Census Tract 9203, Jones County, North Carolina",31901,null,11334,null
1400000US37105030101,"Census Tract 301.01, Lee County, North Carolina",48922,null,6754,null
1400000US37105030102,"Census Tract 301.02, Lee County, North Carolina",74012,null,22322,null
1400000US37105030200,"Census Tract 302, Lee County, North Carolina",22391,null,4633,null
1400000US37105030300,"Census Tract 303, Lee County, North Carolina",24805,null,17351,null
1400000US37105030401,"Census Tract 304.01, Lee County, North Carolina",43851,null,8135,null
1400000US37105030402,"Census Tract 304.02, Lee County, North Carolina",48595,null,8447,null
1400000US37105030502,"Census Tract 305.02, Lee County, North Carolina",69333,null,14640,null
1400000US37105030504,"Census Tract 305.04, Lee County, North Carolina",61384,null,4352,null
1400000US37105030505,"Census Tract 305.05, Lee County, North Carolina",54462,null,8438,null
1400000US37105030506,"Census Tract 305.06, Lee County, North Carolina",51518,null,18675,null
1400000US37105030507,"Census Tract 305.07, Lee County, North Carolina",66756,null,5943,null
1400000US37105030601,"Census Tract 306.01, Lee County, North Carolina",94045,null,7461,null
1400000US37105030602,"Census Tract 306.02, Lee County, North Carolina",59598,null,6852,null
1400000US37105030702,"Census Tract 307.02, Lee County, North Carolina",65887,null,13604,null
1400000US37105030703,"Census Tract 307.03, Lee County, North Carolina",60117,null,20358,null
1400000US37105030704,"Census Tract 307.04, Lee County, North Carolina",56923,null,7830,null
1400000US37107010100,"Census Tract 101, Lenoir County, North Carolina",32118,null,9385,null
1400000US37107010200,"Census Tract 102, Lenoir County, North Carolina",31875,null,15444,null
1400000US37107010300,"Census Tract 103, Lenoir County, North Carolina",13958,null,9751,null
1400000US37107010400,"Census Tract 104, Lenoir County, North Carolina",24270,null,1500,null
1400000US37107010500,"Census Tract 105, Lenoir County, North Carolina",27307,null,9154,null
1400000US37107010600,"Census Tract 106, Lenoir County, North Carolina",44767,null,10590,null
1400000US37107010700,"Census Tract 107, Lenoir County, North Carolina",23474,null,11022,null
1400000US37107010800,"Census Tract 108, Lenoir County, North Carolina",45757,null,12459,null
1400000US37107010900,"Census Tract 109, Lenoir County, North Carolina",47173,null,6369,null
1400000US37107011001,"Census Tract 110.01, Lenoir County, North Carolina",55841,null,6134,null
1400000US37107011002,"Census Tract 110.02, Lenoir County, North Carolina",45327,null,10907,null
1400000US37107011100,"Census Tract 111, Lenoir County, North Carolina",47990,null,13303,null
1400000US37107011201,"Census Tract 112.01, Lenoir County, North Carolina",49205,null,9607,null
1400000US37107011202,"Census Tract 112.02, Lenoir County, North Carolina",54754,null,15632,null
1400000US37107011301,"Census Tract 113.01, Lenoir County, North Carolina",44760,null,20776,null
1400000US37107011302,"Census Tract 113.02, Lenoir County, North Carolina",41484,null,19176,null
1400000US37107011400,"Census Tract 114, Lenoir County, North Carolina",50000,null,20798,null
1400000US37109070100,"Census Tract 701, Lincoln County, North Carolina",44787,null,15907,null
1400000US37109070201,"Census Tract 702.01, Lincoln County, North Carolina",39606,null,7446,null
1400000US37109070202,"Census Tract 702.02, Lincoln County, North Carolina",76250,null,10815,null
1400000US37109070300,"Census Tract 703, Lincoln County, North Carolina",50076,null,17842,null
1400000US37109070400,"Census Tract 704, Lincoln County, North Carolina",51225,null,7896,null
1400000US37109070500,"Census Tract 705, Lincoln County, North Carolina",55156,null,13208,null
1400000US37109070600,"Census Tract 706, Lincoln County, North Carolina",64560,null,16297,null
1400000US37109070700,"Census Tract 707, Lincoln County, North Carolina",65833,null,10037,null
1400000US37109070800,"Census Tract 708, Lincoln County, North Carolina",54602,null,7443,null
1400000US37109070901,"Census Tract 709.01, Lincoln County, North Carolina",65189,null,14756,null
1400000US37109070902,"Census Tract 709.02, Lincoln County, North Carolina",68214,null,9937,null
1400000US37109071001,"Census Tract 710.01, Lincoln County, North Carolina",69087,null,10959,null
1400000US37109071002,"Census Tract 710.02, Lincoln County, North Carolina",51373,null,6529,null
1400000US37109071101,"Census Tract 711.01, Lincoln County, North Carolina",61473,null,15298,null
1400000US37109071102,"Census Tract 711.02, Lincoln County, North Carolina",112356,null,11454,null
1400000US37109071201,"Census Tract 712.01, Lincoln County, North Carolina",102778,null,24969,null
1400000US37109071202,"Census Tract 712.02, Lincoln County, North Carolina",104282,null,10968,null
1400000US37109071203,"Census Tract 712.03, Lincoln County, North Carolina",142943,null,20247,null
1400000US37111970101,"Census Tract 9701.01, McDowell County, North Carolina",44332,null,9647,null
1400000US37111970102,"Census Tract 9701.02, McDowell County, North Carolina",62010,null,29294,null
1400000US37111970200,"Census Tract 9702, McDowell County, North Carolina",42065,null,9484,null
1400000US37111970300,"Census Tract 9703, McDowell County, North Carolina",50829,null,9680,null
1400000US37111970400,"Census Tract 9704, McDowell County, North Carolina",39247,null,6524,null
1400000US37111970500,"Census Tract 9705, McDowell County, North Carolina",43358,null,9752,null
1400000US37111970600,"Census Tract 9706, McDowell County, North Carolina",61603,null,8153,null
1400000US37111970700,"Census Tract 9707, McDowell County, North Carolina",56325,null,3960,null
1400000US37111970800,"Census Tract 9708, McDowell County, North Carolina",49000,null,10036,null
1400000US37111970902,"Census Tract 9709.02, McDowell County, North Carolina",50250,null,11266,null
1400000US37111970903,"Census Tract 9709.03, McDowell County, North Carolina",53833,null,14589,null
1400000US37111970904,"Census Tract 9709.04, McDowell County, North Carolina",44120,null,7842,null
1400000US37113970100,"Census Tract 9701, Macon County, North Carolina",59267,null,9589,null
1400000US37113970200,"Census Tract 9702, Macon County, North Carolina",43228,null,3898,null
1400000US37113970302,"Census Tract 9703.02, Macon County, North Carolina",49444,null,12391,null
1400000US37113970303,"Census Tract 9703.03, Macon County, North Carolina",61389,null,12650,null
1400000US37113970304,"Census Tract 9703.04, Macon County, North Carolina",33750,null,9919,null
1400000US37113970400,"Census Tract 9704, Macon County, North Carolina",38329,null,7467,null
1400000US37113970501,"Census Tract 9705.01, Macon County, North Carolina",54654,null,10040,null
1400000US37113970502,"Census Tract 9705.02, Macon County, North Carolina",77188,null,26398,null
1400000US37113970600,"Census Tract 9706, Macon County, North Carolina",54145,null,13676,null
1400000US37113970700,"Census Tract 9707, Macon County, North Carolina",45972,null,17392,null
1400000US37115010100,"Census Tract 101, Madison County, North Carolina",32368,null,5569,null
1400000US37115010200,"Census Tract 102, Madison County, North Carolina",52121,null,10969,null
1400000US37115010400,"Census Tract 104, Madison County, North Carolina",36786,null,29835,null
1400000US37115010500,"Census Tract 105, Madison County, North Carolina",75729,null,18798,null
1400000US37115010601,"Census Tract 106.01, Madison County, North Carolina",52614,null,18598,null
1400000US37115010602,"Census Tract 106.02, Madison County, North Carolina",66750,null,25863,null
1400000US37115010700,"Census Tract 107, Madison County, North Carolina",48681,null,5412,null
1400000US37117970100,"Census Tract 9701, Martin County, North Carolina",41016,null,8994,null
1400000US37117970200,"Census Tract 9702, Martin County, North Carolina",43561,null,5331,null
1400000US37117970300,"Census Tract 9703, Martin County, North Carolina",32233,null,6753,null
1400000US37117970400,"Census Tract 9704, Martin County, North Carolina",47434,null,11505,null
1400000US37117970500,"Census Tract 9705, Martin County, North Carolina",56168,null,14964,null
1400000US37117970600,"Census Tract 9706, Martin County, North Carolina",38350,null,8206,null
1400000US37119000101,"Census Tract 1.01, Mecklenburg County, North Carolina",107922,null,23940,null
1400000US37119000102,"Census Tract 1.02, Mecklenburg County, North Carolina",103125,null,21757,null
1400000US37119000103,"Census Tract 1.03, Mecklenburg County, North Carolina",121667,null,58077,null
1400000US37119000104,"Census Tract 1.04, Mecklenburg County, North Carolina",107256,null,14094,null
1400000US37119000301,"Census Tract 3.01, Mecklenburg County, North Carolina",83750,null,16427,null
1400000US37119000302,"Census Tract 3.02, Mecklenburg County, North Carolina",44877,null,42492,null
1400000US37119000401,"Census Tract 4.01, Mecklenburg County, North Carolina",85662,null,30314,null
1400000US37119000402,"Census Tract 4.02, Mecklenburg County, North Carolina",81523,null,9543,null
1400000US37119000501,"Census Tract 5.01, Mecklenburg County, North Carolina",76327,null,59196,null
1400000US37119000502,"Census Tract 5.02, Mecklenburg County, North Carolina",79151,null,4384,null
1400000US37119000503,"Census Tract 5.03, Mecklenburg County, North Carolina",63333,null,27988,null
1400000US37119000600,"Census Tract 6, Mecklenburg County, North Carolina",56288,null,20945,null
1400000US37119000700,"Census Tract 7, Mecklenburg County, North Carolina",69777,null,17590,null
1400000US37119000800,"Census Tract 8, Mecklenburg County, North Carolina",44957,null,9004,null
1400000US37119000900,"Census Tract 9, Mecklenburg County, North Carolina",85461,null,9197,null
1400000US37119001000,"Census Tract 10, Mecklenburg County, North Carolina",100833,null,25354,null
1400000US37119001100,"Census Tract 11, Mecklenburg County, North Carolina",93929,null,13888,null
1400000US37119001200,"Census Tract 12, Mecklenburg County, North Carolina",83889,null,19134,null
1400000US37119001300,"Census Tract 13, Mecklenburg County, North Carolina",54570,null,6236,null
1400000US37119001400,"Census Tract 14, Mecklenburg County, North Carolina",79063,null,9663,null
1400000US37119001504,"Census Tract 15.04, Mecklenburg County, North Carolina",41375,null,11665,null
1400000US37119001505,"Census Tract 15.05, Mecklenburg County, North Carolina",51488,null,18632,null
1400000US37119001507,"Census Tract 15.07, Mecklenburg County, North Carolina",35958,null,7646,null
1400000US37119001508,"Census Tract 15.08, Mecklenburg County, North Carolina",62933,null,4146,null
1400000US37119001509,"Census Tract 15.09, Mecklenburg County, North Carolina",48807,null,16901,null
1400000US37119001510,"Census Tract 15.10, Mecklenburg County, North Carolina",51677,null,4886,null
1400000US37119001603,"Census Tract 16.03, Mecklenburg County, North Carolina",53385,null,7224,null
1400000US37119001605,"Census Tract 16.05, Mecklenburg County, North Carolina",42260,null,10839,null
1400000US37119001606,"Census Tract 16.06, Mecklenburg County, North Carolina",64970,null,12986,null
1400000US37119001607,"Census Tract 16.07, Mecklenburg County, North Carolina",33206,null,4317,null
1400000US37119001608,"Census Tract 16.08, Mecklenburg County, North Carolina",43618,null,3207,null
1400000US37119001609,"Census Tract 16.09, Mecklenburg County, North Carolina",43603,null,11897,null
1400000US37119001701,"Census Tract 17.01, Mecklenburg County, North Carolina",49213,null,7975,null
1400000US37119001702,"Census Tract 17.02, Mecklenburg County, North Carolina",53319,null,13242,null
1400000US37119001801,"Census Tract 18.01, Mecklenburg County, North Carolina",39395,null,12604,null
1400000US37119001802,"Census Tract 18.02, Mecklenburg County, North Carolina",53522,null,7260,null
1400000US37119001910,"Census Tract 19.10, Mecklenburg County, North Carolina",42641,null,5315,null
1400000US37119001911,"Census Tract 19.11, Mecklenburg County, North Carolina",48182,null,7673,null
1400000US37119001914,"Census Tract 19.14, Mecklenburg County, North Carolina",44569,null,13772,null
1400000US37119001916,"Census Tract 19.16, Mecklenburg County, North Carolina",54188,null,10857,null
1400000US37119001917,"Census Tract 19.17, Mecklenburg County, North Carolina",58681,null,11069,null
1400000US37119001918,"Census Tract 19.18, Mecklenburg County, North Carolina",47421,null,4739,null
1400000US37119001919,"Census Tract 19.19, Mecklenburg County, North Carolina",55647,null,20290,null
1400000US37119001920,"Census Tract 19.20, Mecklenburg County, North Carolina",52390,null,14037,null
1400000US37119001921,"Census Tract 19.21, Mecklenburg County, North Carolina",54583,null,17050,null
1400000US37119001922,"Census Tract 19.22, Mecklenburg County, North Carolina",47938,null,8641,null
1400000US37119001923,"Census Tract 19.23, Mecklenburg County, North Carolina",51318,null,3576,null
1400000US37119001924,"Census Tract 19.24, Mecklenburg County, North Carolina",39183,null,28021,null
1400000US37119001925,"Census Tract 19.25, Mecklenburg County, North Carolina",43090,null,4478,null
1400000US37119001926,"Census Tract 19.26, Mecklenburg County, North Carolina",43720,null,11533,null
1400000US37119001927,"Census Tract 19.27, Mecklenburg County, North Carolina",51494,null,7971,null
1400000US37119002004,"Census Tract 20.04, Mecklenburg County, North Carolina",90682,null,34860,null
1400000US37119002005,"Census Tract 20.05, Mecklenburg County, North Carolina",107292,null,38855,null
1400000US37119002006,"Census Tract 20.06, Mecklenburg County, North Carolina",121602,null,30057,null
1400000US37119002007,"Census Tract 20.07, Mecklenburg County, North Carolina",44878,null,20226,null
1400000US37119002008,"Census Tract 20.08, Mecklenburg County, North Carolina",144342,null,29214,null
1400000US37119002100,"Census Tract 21, Mecklenburg County, North Carolina",52952,null,15478,null
1400000US37119002201,"Census Tract 22.01, Mecklenburg County, North Carolina",118713,null,28488,null
1400000US37119002202,"Census Tract 22.02, Mecklenburg County, North Carolina",80950,null,26747,null
1400000US37119002300,"Census Tract 23, Mecklenburg County, North Carolina",18897,null,2000,null
1400000US37119002400,"Census Tract 24, Mecklenburg County, North Carolina",83173,null,11763,null
1400000US37119002500,"Census Tract 25, Mecklenburg County, North Carolina",86169,null,12923,null
1400000US37119002600,"Census Tract 26, Mecklenburg County, North Carolina",74583,null,20561,null
1400000US37119002701,"Census Tract 27.01, Mecklenburg County, North Carolina",217634,null,84796,null
1400000US37119002702,"Census Tract 27.02, Mecklenburg County, North Carolina",211231,null,33039,null
1400000US37119002800,"Census Tract 28, Mecklenburg County, North Carolina","250,000+","250,000+",***,***
1400000US37119002903,"Census Tract 29.03, Mecklenburg County, North Carolina",145770,null,17554,null
1400000US37119002905,"Census Tract 29.05, Mecklenburg County, North Carolina",172552,null,58906,null
1400000US37119002907,"Census Tract 29.07, Mecklenburg County, North Carolina",132984,null,30417,null
1400000US37119002908,"Census Tract 29.08, Mecklenburg County, North Carolina",134559,null,25339,null
1400000US37119002909,"Census Tract 29.09, Mecklenburg County, North Carolina",91814,null,36978,null
1400000US37119002910,"Census Tract 29.10, Mecklenburg County, North Carolina",115288,null,31809,null
1400000US37119003006,"Census Tract 30.06, Mecklenburg County, North Carolina",99662,null,19370,null
1400000US37119003008,"Census Tract 30.08, Mecklenburg County, North Carolina",113409,null,32949,null
1400000US37119003012,"Census Tract 30.12, Mecklenburg County, North Carolina",88042,null,23087,null
1400000US37119003013,"Census Tract 30.13, Mecklenburg County, North Carolina",167226,null,24277,null
1400000US37119003015,"Census Tract 30.15, Mecklenburg County, North Carolina",129561,null,13604,null
1400000US37119003016,"Census Tract 30.16, Mecklenburg County, North Carolina",94948,null,7976,null
1400000US37119003017,"Census Tract 30.17, Mecklenburg County, North Carolina",114219,null,26832,null
1400000US37119003018,"Census Tract 30.18, Mecklenburg County, North Carolina",100827,null,4593,null
1400000US37119003019,"Census Tract 30.19, Mecklenburg County, North Carolina",151369,null,33967,null
1400000US37119003020,"Census Tract 30.20, Mecklenburg County, North Carolina",213427,null,34953,null
1400000US37119003021,"Census Tract 30.21, Mecklenburg County, North Carolina",109868,null,38663,null
1400000US37119003022,"Census Tract 30.22, Mecklenburg County, North Carolina",139844,null,44360,null
1400000US37119003102,"Census Tract 31.02, Mecklenburg County, North Carolina",65306,null,14686,null
1400000US37119003105,"Census Tract 31.05, Mecklenburg County, North Carolina",99234,null,23439,null
1400000US37119003106,"Census Tract 31.06, Mecklenburg County, North Carolina",102583,null,24110,null
1400000US37119003108,"Census Tract 31.08, Mecklenburg County, North Carolina",44682,null,14680,null
1400000US37119003109,"Census Tract 31.09, Mecklenburg County, North Carolina",48153,null,6593,null
1400000US37119003110,"Census Tract 31.10, Mecklenburg County, North Carolina",100536,null,55170,null
1400000US37119003111,"Census Tract 31.11, Mecklenburg County, North Carolina",86506,null,25071,null
1400000US37119003201,"Census Tract 32.01, Mecklenburg County, North Carolina",68969,null,4528,null
1400000US37119003203,"Census Tract 32.03, Mecklenburg County, North Carolina",53333,null,15828,null
1400000US37119003204,"Census Tract 32.04, Mecklenburg County, North Carolina",78819,null,9535,null
1400000US37119003301,"Census Tract 33.01, Mecklenburg County, North Carolina",80882,null,9907,null
1400000US37119003302,"Census Tract 33.02, Mecklenburg County, North Carolina",93594,null,28488,null
1400000US37119003401,"Census Tract 34.01, Mecklenburg County, North Carolina",118989,null,15763,null
1400000US37119003402,"Census Tract 34.02, Mecklenburg County, North Carolina",156268,null,25289,null
1400000US37119003500,"Census Tract 35, Mecklenburg County, North Carolina",103882,null,17862,null
1400000US37119003600,"Census Tract 36, Mecklenburg County, North Carolina",63829,null,9998,null
1400000US37119003701,"Census Tract 37.01, Mecklenburg County, North Carolina",75185,null,23674,null
1400000US37119003702,"Census Tract 37.02, Mecklenburg County, North Carolina",53654,null,30588,null
1400000US37119003802,"Census Tract 38.02, Mecklenburg County, North Carolina",35051,null,10355,null
1400000US37119003805,"Census Tract 38.05, Mecklenburg County, North Carolina",73910,null,16735,null
1400000US37119003807,"Census Tract 38.07, Mecklenburg County, North Carolina",42420,null,5865,null
1400000US37119003808,"Census Tract 38.08, Mecklenburg County, North Carolina",48084,null,7701,null
1400000US37119003809,"Census Tract 38.09, Mecklenburg County, North Carolina",62500,null,12595,null
1400000US37119003810,"Census Tract 38.10, Mecklenburg County, North Carolina",69615,null,23198,null
1400000US37119003811,"Census Tract 38.11, Mecklenburg County, North Carolina",55224,null,32886,null
1400000US37119003902,"Census Tract 39.02, Mecklenburg County, North Carolina",36111,null,6182,null
1400000US37119003903,"Census Tract 39.03, Mecklenburg County, North Carolina",19113,null,6849,null
1400000US37119004000,"Census Tract 40, Mecklenburg County, North Carolina",45206,null,11942,null
1400000US37119004101,"Census Tract 41.01, Mecklenburg County, North Carolina",85600,null,43939,null
1400000US37119004102,"Census Tract 41.02, Mecklenburg County, North Carolina",69361,null,11755,null
1400000US37119004200,"Census Tract 42, Mecklenburg County, North Carolina",37304,null,22692,null
1400000US37119004302,"Census Tract 43.02, Mecklenburg County, North Carolina",36765,null,5695,null
1400000US37119004303,"Census Tract 43.03, Mecklenburg County, North Carolina",64946,null,12981,null
1400000US37119004304,"Census Tract 43.04, Mecklenburg County, North Carolina",39536,null,6408,null
1400000US37119004306,"Census Tract 43.06, Mecklenburg County, North Carolina",46031,null,24282,null
1400000US37119004307,"Census Tract 43.07, Mecklenburg County, North Carolina",66372,null,12262,null
1400000US37119004400,"Census Tract 44, Mecklenburg County, North Carolina",40625,null,3675,null
1400000US37119004500,"Census Tract 45, Mecklenburg County, North Carolina",33418,null,9422,null
1400000US37119004600,"Census Tract 46, Mecklenburg County, North Carolina",35104,null,3697,null
1400000US37119004700,"Census Tract 47, Mecklenburg County, North Carolina",47368,null,43056,null
1400000US37119004800,"Census Tract 48, Mecklenburg County, North Carolina",25607,null,2631,null
1400000US37119004900,"Census Tract 49, Mecklenburg County, North Carolina",46111,null,22357,null
1400000US37119005000,"Census Tract 50, Mecklenburg County, North Carolina",55590,null,14464,null
1400000US37119005100,"Census Tract 51, Mecklenburg County, North Carolina",27091,null,8574,null
1400000US37119005200,"Census Tract 52, Mecklenburg County, North Carolina",31654,null,3630,null
1400000US37119005301,"Census Tract 53.01, Mecklenburg County, North Carolina",36088,null,5270,null
1400000US37119005305,"Census Tract 53.05, Mecklenburg County, North Carolina",41750,null,5277,null
1400000US37119005306,"Census Tract 53.06, Mecklenburg County, North Carolina",38017,null,6652,null
1400000US37119005307,"Census Tract 53.07, Mecklenburg County, North Carolina",36467,null,4166,null
1400000US37119005308,"Census Tract 53.08, Mecklenburg County, North Carolina",32528,null,5547,null
1400000US37119005403,"Census Tract 54.03, Mecklenburg County, North Carolina",53705,null,9112,null
1400000US37119005404,"Census Tract 54.04, Mecklenburg County, North Carolina",46523,null,3632,null
1400000US37119005405,"Census Tract 54.05, Mecklenburg County, North Carolina",46105,null,21225,null
1400000US37119005406,"Census Tract 54.06, Mecklenburg County, North Carolina",42885,null,9964,null
1400000US37119005508,"Census Tract 55.08, Mecklenburg County, North Carolina",92198,null,16288,null
1400000US37119005510,"Census Tract 55.10, Mecklenburg County, North Carolina",56070,null,5641,null
